1	1	15	2025-08-06 16:35:57.645037	t	f
2	1	3	2025-08-06 16:35:57.64731	f	f
3	1	4	2025-08-06 16:35:57.647313	f	f
5	1	6	2025-08-06 16:35:57.647316	f	f
6	1	7	2025-08-06 16:35:57.647318	f	f
7	1	8	2025-08-06 16:35:57.647319	f	f
8	1	9	2025-08-06 16:35:57.647321	f	f
9	1	10	2025-08-06 16:35:57.647322	f	f
10	1	11	2025-08-06 16:35:57.647323	f	f
12	1	13	2025-08-06 16:35:57.647326	f	f
13	1	14	2025-08-06 16:35:57.647327	f	f
14	1	16	2025-08-06 16:35:57.647329	f	f
15	1	17	2025-08-06 16:35:57.64733	f	f
16	1	18	2025-08-06 16:35:57.647331	f	f
17	1	19	2025-08-06 16:35:57.647333	f	f
18	2	16	2025-08-13 18:14:46.877722	t	f
19	2	3	2025-08-13 18:14:46.879621	f	f
20	2	4	2025-08-13 18:14:46.879625	f	f
22	2	6	2025-08-13 18:14:46.879628	f	f
23	2	7	2025-08-13 18:14:46.87963	f	f
24	2	8	2025-08-13 18:14:46.879631	f	f
25	2	9	2025-08-13 18:14:46.879632	f	f
26	2	10	2025-08-13 18:14:46.879634	f	f
27	2	11	2025-08-13 18:14:46.879635	f	f
29	2	14	2025-08-13 18:14:46.879638	f	f
30	2	15	2025-08-13 18:14:46.879639	f	f
31	2	17	2025-08-13 18:14:46.879641	f	f
32	2	18	2025-08-13 18:14:46.879642	f	f
33	2	19	2025-08-13 18:14:46.879644	f	f
34	3	6	2025-08-13 18:18:17.162019	t	f
35	3	3	2025-08-13 18:18:17.163205	f	f
36	3	4	2025-08-13 18:18:17.163209	f	f
38	3	7	2025-08-13 18:18:17.163214	f	f
39	3	8	2025-08-13 18:18:17.163215	f	f
40	3	9	2025-08-13 18:18:17.163217	f	f
41	3	10	2025-08-13 18:18:17.163219	f	f
42	3	11	2025-08-13 18:18:17.16322	f	f
44	3	13	2025-08-13 18:18:17.163224	f	f
45	3	14	2025-08-13 18:18:17.163225	f	f
46	3	15	2025-08-13 18:18:17.163227	f	f
47	3	16	2025-08-13 18:18:17.163229	f	f
48	3	17	2025-08-13 18:18:17.16323	f	f
49	3	18	2025-08-13 18:18:17.163232	f	f
50	3	19	2025-08-13 18:18:17.163234	f	f
51	4	6	2025-08-13 18:18:17.729049	t	f
52	4	3	2025-08-13 18:18:17.730191	f	f
53	4	4	2025-08-13 18:18:17.730195	f	f
55	4	7	2025-08-13 18:18:17.730199	f	f
56	4	8	2025-08-13 18:18:17.730201	f	f
57	4	9	2025-08-13 18:18:17.730202	f	f
58	4	10	2025-08-13 18:18:17.730204	f	f
59	4	11	2025-08-13 18:18:17.730206	f	f
61	4	13	2025-08-13 18:18:17.730209	f	f
62	4	14	2025-08-13 18:18:17.730211	f	f
63	4	15	2025-08-13 18:18:17.730213	f	f
64	4	16	2025-08-13 18:18:17.730214	f	f
65	4	17	2025-08-13 18:18:17.730216	f	f
66	4	18	2025-08-13 18:18:17.730218	f	f
67	4	19	2025-08-13 18:18:17.73022	f	f
\.


