2	1	13	2025-09-27 05:31:29.430407	f
3	1	15	2025-09-27 05:31:31.321386	f
4	1	1	2025-09-27 05:31:44.830078	f
5	2	14	2025-09-27 05:31:51.844422	f
6	2	7	2025-09-27 05:32:01.598677	f
7	3	25	2025-10-03 14:34:36.804785	f
8	3	7	2025-10-03 14:34:47.743228	f
9	3	16	2025-10-03 14:34:51.148969	f
11	4	17	2025-10-03 14:35:15.919274	f
12	4	1	2025-10-03 14:35:59.300215	f
13	4	2	2025-10-03 14:36:09.740503	f
15	5	23	2025-10-03 14:36:44.212368	f
16	5	12	2025-10-03 14:37:18.188795	f
17	5	13	2025-10-03 14:37:23.826794	f
19	6	4	2025-10-03 14:38:03.984731	f
20	6	15	2025-10-03 14:38:09.876434	f
21	6	18	2025-10-03 14:38:17.169532	f
27	8	1	2025-10-08 18:52:29.831432	f
28	8	2	2025-10-08 18:52:32.147378	f
29	8	4	2025-10-08 18:52:33.403831	f
30	8	5	2025-10-08 18:52:37.139046	f
31	8	7	2025-10-08 18:52:40.18241	f
32	8	11	2025-10-08 18:52:43.04118	f
33	8	12	2025-10-08 18:52:45.585987	f
34	8	13	2025-10-08 18:52:48.197288	f
35	8	14	2025-10-08 18:52:50.75387	f
36	8	15	2025-10-08 18:52:53.793805	f
37	9	6	2025-10-08 18:53:12.371014	f
38	9	16	2025-10-08 18:53:16.942861	f
39	9	22	2025-10-08 18:53:19.160172	f
40	9	23	2025-10-08 18:53:21.329076	f
41	9	21	2025-10-08 18:53:23.075025	f
43	9	17	2025-10-08 18:53:36.723332	f
44	9	19	2025-10-08 18:53:39.775309	f
45	9	18	2025-10-08 18:53:43.217179	f
46	9	25	2025-10-08 18:53:46.133995	f
47	9	24	2025-10-08 18:53:48.367253	f
48	10	1	2025-10-24 18:23:25.622176	f
49	10	2	2025-10-24 18:23:29.763076	f
50	10	4	2025-10-24 18:23:35.273757	f
52	10	11	2025-10-24 18:23:45.229686	f
53	10	12	2025-10-24 18:23:48.931184	f
51	10	5	2025-10-24 18:23:38.895827	t
54	12	21	2025-10-24 18:35:24.227195	f
55	12	22	2025-10-24 18:35:29.943758	f
56	3	19	2025-11-04 15:29:00.437365	f
57	4	5	2025-11-04 15:29:33.098261	f
58	5	24	2025-11-04 15:29:54.644122	f
59	6	22	2025-11-04 15:30:27.094547	f
60	7	21	2025-11-04 15:31:25.676647	f
61	7	6	2025-11-04 15:31:32.406284	f
62	7	14	2025-11-04 15:31:42.720189	f
63	7	11	2025-11-04 15:32:01.048843	f
64	6	39	2025-11-04 15:32:58.964737	f
65	8	39	2025-11-04 16:25:43.757144	f
\.


