1	1	Sweeping Team	Sweep all four classrooms.	all four classrooms	t	2025-10-01 16:36:47.157995
2	1	Wipe Down Team	Wipe down all tables and desks in the four classrooms.	all four classrooms	t	2025-10-01 16:36:47.16064
3	1	Trash Team	Replace liners in all four classroom trash cans and all hallway trash cans.	all four classrooms and hallway trash cans	t	2025-10-01 16:36:47.162575
4	2	Sweeping Team	Sweep all four classrooms.	all four classrooms	t	2025-10-01 16:36:47.165755
5	2	Wipe Down Team	Wipe down all tables and desks in the four classrooms.	all four classrooms	t	2025-10-01 16:36:47.167699
6	2	Bathroom Team	Sweep both Male and Female restrooms, replace trash cans, and restock all paper products and soap.	both Male and Female restrooms	t	2025-10-01 16:36:47.169399
\.


