50	6	8	{"score": 60.0, "comment": "8 Questions wrong"}	2025-09-15 14:16:53.348582	f	\N	\N	\N
51	16	8	{"score": 75.0, "comment": "Missed 5 Questions"}	2025-09-15 14:16:53.373121	f	\N	\N	\N
52	15	8	{"score": 85.0, "comment": ""}	2025-09-15 14:16:53.389982	f	\N	\N	\N
56	25	8	{"score": 50.0, "comment": "Missed 10 questions"}	2025-09-15 14:16:53.46484	f	\N	\N	\N
59	19	8	{"score": 45.0, "comment": "Missed 11 Questions"}	2025-09-15 14:16:53.531753	f	\N	\N	\N
69	22	8	{"score": 35.0, "comment": "Missed 30 questions"}	2025-09-15 14:16:53.745137	f	\N	\N	\N
70	17	8	{"score": 65.0, "comment": "Missed 7 Questions"}	2025-09-15 14:17:41.110077	f	\N	\N	\N
53	14	8	{"score": 95.0, "comment": "1 Question missed"}	2025-09-15 14:16:53.409133	f	\N	\N	\N
54	21	8	{"score": 35.0, "comment": "13 Questions missed"}	2025-09-15 14:16:53.428007	f	\N	\N	\N
55	5	8	{"score": 40.0, "comment": "14 Questions missed"}	2025-09-15 14:16:53.448137	f	\N	\N	\N
57	18	8	{"score": 55.0, "comment": "9 Questions missed"}	2025-09-15 14:16:53.485027	f	\N	\N	\N
60	23	8	{"score": 30.0, "comment": "14 Questions missed"}	2025-09-15 14:16:53.553193	f	\N	\N	\N
61	1	8	{"score": 45.0, "comment": "11 Questions missed"}	2025-09-15 14:16:53.572498	f	\N	\N	\N
63	4	8	{"score": 35.0, "comment": "13 Questions Missed"}	2025-09-15 14:16:53.614892	f	\N	\N	\N
66	2	8	{"score": 45.0, "comment": "11 Questions wrong"}	2025-09-15 14:16:53.701403	f	\N	\N	\N
67	12	8	{"score": 35.0, "comment": "13 Questions wrong"}	2025-09-15 14:16:53.716541	f	\N	\N	\N
65	24	8	{"score": 81.0, "comment": "Missed 7 Questions"}	2025-09-15 14:16:53.6669	f	\N	\N	\N
62	7	8	{"score": 80.0, "comment": "Missed 4 questions"}	2025-09-15 14:16:53.594088	f	\N	\N	\N
58	11	8	{"score": 1.0, "comment": "Not turned in"}	2025-09-15 14:16:53.50798	f	\N	\N	\N
68	13	8	{"score": 1.0, "comment": "Not turned in"}	2025-09-15 14:16:53.726118	f	\N	\N	\N
71	6	12	{"score": 100.0, "comment": ""}	2025-09-29 04:23:05.348888	f	\N	\N	\N
72	16	12	{"score": 100.0, "comment": ""}	2025-09-29 04:23:05.515832	f	\N	\N	\N
73	17	12	{"score": 100.0, "comment": ""}	2025-09-29 04:23:05.525564	f	\N	\N	\N
74	15	12	{"score": 100.0, "comment": ""}	2025-09-29 04:23:05.629913	f	\N	\N	\N
75	14	12	{"score": 100.0, "comment": ""}	2025-09-29 04:23:05.637872	f	\N	\N	\N
76	21	12	{"score": 100.0, "comment": ""}	2025-09-29 04:23:05.645367	f	\N	\N	\N
77	5	12	{"score": 100.0, "comment": ""}	2025-09-29 04:23:05.725862	f	\N	\N	\N
78	25	12	{"score": 100.0, "comment": ""}	2025-09-29 04:23:05.74434	f	\N	\N	\N
79	18	12	{"score": 100.0, "comment": ""}	2025-09-29 04:23:05.753593	f	\N	\N	\N
80	11	12	{"score": 100.0, "comment": ""}	2025-09-29 04:23:05.76189	f	\N	\N	\N
81	19	12	{"score": 100.0, "comment": ""}	2025-09-29 04:23:05.772177	f	\N	\N	\N
82	23	12	{"score": 100.0, "comment": ""}	2025-09-29 04:23:05.830268	f	\N	\N	\N
83	1	12	{"score": 100.0, "comment": ""}	2025-09-29 04:23:05.854894	f	\N	\N	\N
84	7	12	{"score": 100.0, "comment": ""}	2025-09-29 04:23:05.87457	f	\N	\N	\N
85	4	12	{"score": 100.0, "comment": ""}	2025-09-29 04:23:05.882631	f	\N	\N	\N
87	24	12	{"score": 100.0, "comment": ""}	2025-09-29 04:23:05.898706	f	\N	\N	\N
88	2	12	{"score": 100.0, "comment": ""}	2025-09-29 04:23:05.92018	f	\N	\N	\N
89	12	12	{"score": 100.0, "comment": ""}	2025-09-29 04:23:05.92941	f	\N	\N	\N
90	13	12	{"score": 100.0, "comment": ""}	2025-09-29 04:23:05.937243	f	\N	\N	\N
91	22	12	{"score": 100.0, "comment": ""}	2025-09-29 04:23:05.944846	f	\N	\N	\N
92	6	13	{"score": 100.0, "comment": ""}	2025-09-29 04:27:53.311543	f	\N	\N	\N
93	16	13	{"score": 100.0, "comment": ""}	2025-09-29 04:27:53.318852	f	\N	\N	\N
94	17	13	{"score": 100.0, "comment": ""}	2025-09-29 04:27:53.32645	f	\N	\N	\N
95	15	13	{"score": 100.0, "comment": ""}	2025-09-29 04:27:53.333721	f	\N	\N	\N
96	14	13	{"score": 100.0, "comment": ""}	2025-09-29 04:27:53.340768	f	\N	\N	\N
97	21	13	{"score": 100.0, "comment": ""}	2025-09-29 04:27:53.347879	f	\N	\N	\N
98	5	13	{"score": 100.0, "comment": ""}	2025-09-29 04:27:53.354646	f	\N	\N	\N
99	25	13	{"score": 100.0, "comment": ""}	2025-09-29 04:27:53.361569	f	\N	\N	\N
100	18	13	{"score": 100.0, "comment": ""}	2025-09-29 04:27:53.368596	f	\N	\N	\N
101	11	13	{"score": 100.0, "comment": ""}	2025-09-29 04:27:53.375735	f	\N	\N	\N
102	19	13	{"score": 100.0, "comment": ""}	2025-09-29 04:27:53.383036	f	\N	\N	\N
103	23	13	{"score": 100.0, "comment": ""}	2025-09-29 04:27:53.422324	f	\N	\N	\N
104	1	13	{"score": 100.0, "comment": ""}	2025-09-29 04:27:53.429941	f	\N	\N	\N
105	7	13	{"score": 100.0, "comment": ""}	2025-09-29 04:27:53.437195	f	\N	\N	\N
106	4	13	{"score": 100.0, "comment": ""}	2025-09-29 04:27:53.444844	f	\N	\N	\N
108	24	13	{"score": 100.0, "comment": ""}	2025-09-29 04:27:53.460201	f	\N	\N	\N
109	2	13	{"score": 100.0, "comment": ""}	2025-09-29 04:27:53.467216	f	\N	\N	\N
110	12	13	{"score": 100.0, "comment": ""}	2025-09-29 04:27:53.474267	f	\N	\N	\N
111	13	13	{"score": 100.0, "comment": ""}	2025-09-29 04:27:53.52183	f	\N	\N	\N
112	22	13	{"score": 100.0, "comment": ""}	2025-09-29 04:27:53.528901	f	\N	\N	\N
113	6	14	{"score": 100.0, "comment": ""}	2025-09-29 04:32:03.970402	f	\N	\N	\N
114	16	14	{"score": 100.0, "comment": ""}	2025-09-29 04:32:03.977464	f	\N	\N	\N
115	17	14	{"score": 100.0, "comment": ""}	2025-09-29 04:32:03.984589	f	\N	\N	\N
116	15	14	{"score": 100.0, "comment": ""}	2025-09-29 04:32:03.992076	f	\N	\N	\N
117	14	14	{"score": 100.0, "comment": ""}	2025-09-29 04:32:03.999425	f	\N	\N	\N
118	21	14	{"score": 100.0, "comment": ""}	2025-09-29 04:32:04.006801	f	\N	\N	\N
119	5	14	{"score": 100.0, "comment": ""}	2025-09-29 04:32:04.01453	f	\N	\N	\N
120	25	14	{"score": 100.0, "comment": ""}	2025-09-29 04:32:04.02157	f	\N	\N	\N
121	18	14	{"score": 100.0, "comment": ""}	2025-09-29 04:32:04.02873	f	\N	\N	\N
122	11	14	{"score": 100.0, "comment": ""}	2025-09-29 04:32:04.036386	f	\N	\N	\N
123	19	14	{"score": 100.0, "comment": ""}	2025-09-29 04:32:04.044206	f	\N	\N	\N
124	23	14	{"score": 100.0, "comment": ""}	2025-09-29 04:32:04.051474	f	\N	\N	\N
125	1	14	{"score": 100.0, "comment": ""}	2025-09-29 04:32:04.058503	f	\N	\N	\N
126	7	14	{"score": 100.0, "comment": ""}	2025-09-29 04:32:04.065656	f	\N	\N	\N
127	4	14	{"score": 100.0, "comment": ""}	2025-09-29 04:32:04.073027	f	\N	\N	\N
129	24	14	{"score": 100.0, "comment": ""}	2025-09-29 04:32:04.130516	f	\N	\N	\N
130	2	14	{"score": 100.0, "comment": ""}	2025-09-29 04:32:04.138109	f	\N	\N	\N
131	12	14	{"score": 100.0, "comment": ""}	2025-09-29 04:32:04.145612	f	\N	\N	\N
132	13	14	{"score": 100.0, "comment": ""}	2025-09-29 04:32:04.1536	f	\N	\N	\N
133	22	14	{"score": 100.0, "comment": ""}	2025-09-29 04:32:04.161024	f	\N	\N	\N
134	6	15	{"score": 100.0, "comment": ""}	2025-09-29 04:36:39.957412	f	\N	\N	\N
135	16	15	{"score": 100.0, "comment": ""}	2025-09-29 04:36:39.96644	f	\N	\N	\N
136	17	15	{"score": 100.0, "comment": ""}	2025-09-29 04:36:39.976483	f	\N	\N	\N
137	15	15	{"score": 100.0, "comment": ""}	2025-09-29 04:36:39.984905	f	\N	\N	\N
