1	15	3	90	\N	2025-08-25 20:34:00.124409	2025-08-25 20:34:00.124414
2	15	2	90	\N	2025-08-25 20:34:58.761804	2025-08-25 20:34:58.76181
4	15	4	85	\N	2025-08-25 20:36:04.969693	2025-08-25 20:36:04.969697
5	15	1	90	\N	2025-08-25 20:36:20.560753	2025-08-25 20:36:20.560757
6	11	4	50	\N	2025-08-29 01:37:10.949115	2025-08-29 01:37:10.949119
10	6	9	100	\N	2025-09-22 14:37:52.739208	2025-09-22 14:37:52.739213
11	6	10	100	\N	2025-09-22 14:39:30.270311	2025-09-22 14:39:30.270318
13	15	11	80	\N	2025-10-22 15:08:33.956349	2025-10-22 15:08:33.956353
14	16	14	100	\N	2025-10-28 18:43:49.434939	2025-10-28 18:43:49.434942
\.


