1	1	1	1	Q1	F	0	6	2025-11-02 03:59:47.772817	2025-11-02 03:59:47.784329
2	1	2	1	Q1	F	28.67	3	2025-11-02 03:59:47.795087	2025-11-02 03:59:47.798772
3	1	11	1	Q1	F	40.71	7	2025-11-02 03:59:48.008505	2025-11-02 03:59:48.012798
4	1	6	1	Q1	B	85	7	2025-11-02 03:59:48.063913	2025-11-02 03:59:48.068937
5	2	1	1	Q1	F	16.67	6	2025-11-02 03:59:48.082714	2025-11-02 03:59:48.086886
6	2	2	1	Q1	F	55.43	3	2025-11-02 03:59:48.093899	2025-11-02 03:59:48.097391
7	2	11	1	Q1	F	64.14	7	2025-11-02 03:59:48.119381	2025-11-02 03:59:48.123221
8	2	6	1	Q1	C+	77.86	7	2025-11-02 03:59:48.134519	2025-11-02 03:59:48.138873
9	4	1	1	Q1	F	0	6	2025-11-02 03:59:48.185146	2025-11-02 03:59:48.189432
10	4	2	1	Q1	F	45.57	3	2025-11-02 03:59:48.199298	2025-11-02 03:59:48.220098
11	4	11	1	Q1	C-	70	7	2025-11-02 03:59:48.241794	2025-11-02 03:59:48.246064
12	4	6	1	Q1	B	86.43	7	2025-11-02 03:59:48.254229	2025-11-02 03:59:48.258427
13	5	1	1	Q1	F	16.67	6	2025-11-02 03:59:48.326405	2025-11-02 03:59:48.332886
14	5	2	1	Q1	F	51.77	3	2025-11-02 03:59:48.341099	2025-11-02 03:59:48.345412
15	5	11	1	Q1	B	85.29	7	2025-11-02 03:59:48.372011	2025-11-02 03:59:48.375626
16	5	6	1	Q1	B	84.29	7	2025-11-02 03:59:48.425146	2025-11-02 03:59:48.428862
20	7	1	1	Q1	F	25.5	6	2025-11-02 03:59:48.555371	2025-11-02 03:59:48.558874
21	7	2	1	Q1	D	69	3	2025-11-02 03:59:48.566294	2025-11-02 03:59:48.570215
22	7	11	1	Q1	C	74.71	7	2025-11-02 03:59:48.633957	2025-11-02 03:59:48.638084
23	7	6	1	Q1	A	97.14	7	2025-11-02 03:59:48.645418	2025-11-02 03:59:48.64876
24	11	1	1	Q1	F	16.67	6	2025-11-02 03:59:48.738363	2025-11-02 03:59:48.741718
25	11	2	1	Q1	F	53.1	3	2025-11-02 03:59:48.748924	2025-11-02 03:59:48.752495
26	11	11	1	Q1	C	75.71	7	2025-11-02 03:59:48.767952	2025-11-02 03:59:48.771545
27	11	6	1	Q1	B	83	7	2025-11-02 03:59:48.819377	2025-11-02 03:59:48.823655
28	12	1	1	Q1	F	16.67	6	2025-11-02 03:59:48.851268	2025-11-02 03:59:48.855279
29	12	2	1	Q1	F	51.23	3	2025-11-02 03:59:48.863308	2025-11-02 03:59:48.867646
30	12	11	1	Q1	F	35.01	7	2025-11-02 03:59:48.922261	2025-11-02 03:59:48.927399
31	12	6	1	Q1	B	83.57	7	2025-11-02 03:59:48.936425	2025-11-02 03:59:48.940866
32	13	1	1	Q1	C	74.83	6	2025-11-02 03:59:48.957465	2025-11-02 03:59:48.961845
33	13	2	1	Q1	A	98	3	2025-11-02 03:59:48.972597	2025-11-02 03:59:48.977113
34	13	11	1	Q1	D	69.73	7	2025-11-02 03:59:49.045834	2025-11-02 03:59:49.049563
